"n","lambda","adj_x_bar","KLD","BC","Fc","eta_x_R_plus","derrorAB_dn","derrorBC_dn","x_bar"
3,5,10,0.139406291689872,0.973605871690028,0.480785523769349,0.0916865381384101,0.1628007424576,-0.0272846854317969,10.0994800378278
3.5,5,10,0.207018879671268,0.963791764703154,0.54204554159178,0.120020140136951,0.157987658877303,-0.0295732483391548,9.86187186990984
4,5,10,0.300661205035045,0.951315120379499,0.617265910435763,0.16000347217774,0.160256905751459,-0.0358843567058598,10.0796566761479
4.5,5,10,0.438446066119583,0.935657222942064,0.679982256363424,0.212902222065474,0.163352159045852,-0.0475722258661813,9.98029382358034
5,5,10,0.577413734840005,0.920275502179002,0.718958934803744,0.256278853958284,0.154285490289671,-0.0465420545712553,9.98209110246765
5.5,5,10,0.807750173123489,0.898109935955106,0.765895922498292,0.32045362291041,0.153098914976216,-0.0506949281811291,10.209291248415
6,5,10,0.828190254995095,0.892965753818921,0.772865653856602,0.344306294362586,0.140986701928142,-0.050273753966766,9.88271416058232
6.5,5,10,1.19930008706707,0.873955317701737,0.823407473456562,0.46586655715045,0.15081022013216,-0.0710909505082888,10.008775526528
7,5,10,1.48886768853787,0.85291370542557,0.852115466850804,0.576610570021025,0.146253751925028,-0.0745094437586757,9.99293573232915
7.5,5,10,1.71672503527762,0.833155389929175,0.866196395403893,0.645305370375583,0.137429522466038,-0.0709882437159623,10.0319019653863
8,5,10,2.12776588870452,0.819121134756489,0.891912828706348,0.832758531071857,0.146436647449356,-0.0943378173420389,9.90898495217665
8.5,5,10,2.21201116291811,0.811013589799548,0.893551317832736,0.853414033914425,0.134888687775131,-0.0936117505730535,9.83602061073267
9,5,10,2.49324364285206,0.802097965391005,0.908279238106365,1.02146059407889,0.136043318260133,-0.101050888789459,9.69460494540933
9.5,5,10,3.01870563453299,0.783236379729281,0.923976150707274,1.20998021547907,0.137758772190092,-0.114525279205378,10.0445997744406
10,5,10,3.42897681728898,0.765259984262666,0.935152377953363,1.43641819794582,0.142524496647659,-0.134322039959855,10.0393923857652
1,10,10,0.000583556887742703,0.999856009226988,0.0480827584424063,0.00505485604246396,0.0478008834885906,-0.00478335973249177,9.99266641842108
1.5,10,10,0.00572749557685808,0.998691167992531,0.102348390505472,0.0115161966087266,0.0678460190947389,-0.00704135974816935,9.90065968710053
2,10,10,0.00719555033124355,0.998300120862746,0.155308352928384,0.0183015372201074,0.0779360158988021,-0.00807277276629117,10.0463671342814
2.5,10,10,0.0210107797849976,0.995251641284283,0.233743847034455,0.0305908330712806,0.095717095724493,-0.0126654323857821,9.97183097466561
3,10,10,0.0359886218092798,0.992087115453908,0.306364158241383,0.0432541946279914,0.101041264535994,-0.0096708472931781,10.2112333140093
3.5,10,10,0.0693357217113044,0.9860705915641,0.381320431274181,0.0621479380733734,0.11133731835914,-0.0172408507274433,9.91739422378664
4,10,10,0.115182147626054,0.977807506128926,0.452389499662256,0.0820766284676692,0.114065711967757,-0.0177634826112885,10.0651729255828
4.5,10,10,0.160441889366297,0.971178685947081,0.512079775910246,0.105299498762329,0.116105076678368,-0.0206865574593357,9.96695506809864
5,10,10,0.190754581672332,0.96497272630309,0.544865884985904,0.117900858905447,0.110196201187939,-0.0185181873105561,10.1539087961758
5.5,10,10,0.304919893894842,0.951902459918709,0.618046255496404,0.162818510374828,0.118778184818258,-0.0292154451690665,9.93817020716119
6,10,10,0.408151669854507,0.937066187687607,0.659927183229533,0.196390514510722,0.116653537762643,-0.026719409538797,9.88106124900996
6.5,10,10,0.50626569858945,0.930478918118858,0.696596578600888,0.230379041563368,0.118574842963646,-0.037323194711778,9.96593145923058
7,10,10,0.528761758319994,0.927949762452357,0.715052402335773,0.251126750783747,0.113461113325224,-0.0348423058232833,9.99263197158316
7.5,10,10,0.704235008235841,0.90864843325462,0.753983469922341,0.307717398639979,0.112709645413627,-0.0367438206537815,9.95968226080068
8,10,10,0.774022312301545,0.903354369300056,0.767776159800533,0.331492153235115,0.110186471545582,-0.0416471096229109,9.97366019263156
8.5,10,10,1.00523359842774,0.881221545156966,0.793470243758235,0.379906836761112,0.104086143916221,-0.0377601892762213,10.1127880038951
9,10,10,1.14711204883746,0.875047128882638,0.821363584923407,0.469742864826578,0.108062293924577,-0.0506463279709743,9.78825461520374
9.5,10,10,1.18336303809932,0.872810066756157,0.821370103685091,0.458007094505191,0.100150613877878,-0.0413553243304434,10.0395105378768
10,10,10,1.65419027360057,0.838514537633305,0.857962605252306,0.595964859291022,0.101930041044643,-0.0478462085191003,10.1354960531152
1,1,50,0.631643108084556,0.909892824645121,0.718407715019634,0.0508807598410896,0.683576765708145,-0.0320665025379804,50.141422122252
1.5,1,50,1.67382515240915,0.83069467228729,0.839323405291394,0.104037051440782,0.530617635210481,-0.0475182862093317,50.2098217800627
2,1,50,3.45830528643938,0.749015032767581,0.906990711151152,0.19363754457358,0.441311208957363,-0.0715822016708644,50.3601423022501
2.5,1,50,5.26395824167896,0.696490707228785,0.935041421041146,0.292040310025779,0.376615852635795,-0.0921888460890882,49.2891732360077
3,1,50,7.7661413194962,0.648165262147775,0.954992690254606,0.42042898162276,0.336050783754653,-0.116576068354643,50.4689590517272
3.5,1,50,9.84683981294789,0.611947031273272,0.96414192399193,0.535025863329544,0.292785193646775,-0.115745555149111,50.2549919627545
4,1,50,Inf,0.569319055315821,0.975338032295219,0.766226143473906,0.280613697834387,-0.172610368443961,51.614350749049
4.5,1,50,Inf,0.53125751245709,0.981816327360985,1.08769790882898,0.267561498703886,-0.188003996313523,49.6409806443572
5,1,50,Inf,0.511501127274921,0.985561636621609,1.36366639832305,0.249800456618143,-0.193977834691005,50.056177616547
5.5,1,50,Inf,0.47900916965253,0.989575154389849,1.88843223990061,0.263935769708219,-0.277491092934684,50.2663955789752
6,1,50,Inf,0.469912213610474,0.991121669767439,2.24559826473304,0.254819661316222,-0.280890982508141,49.712272079976
6.5,1,50,Inf,0.460984570731742,0.992477278225075,2.91617146118613,0.259650425810866,-0.326143996590563,45.2410334921157
7,1,50,Inf,0.429590529395086,0.994183929538952,3.59686151128715,0.2204828115861,-0.225654646739391,47.524041095242
7.5,1,50,Inf,0.417119960775753,0.994553581655263,3.98410859705389,0.195729573198146,-0.212905551113758,45.8338164447845
