"","x_bar","y_bar","gamma","true_n","true_K","KLD","BC","Fc","derrorAB_dn","derrorBC_dn","derrorAB_dK","derrorBC_dK","emp_x_bar"
"1",10,10,0.1,6,10,1.38678528113729,0.816447396311594,0.791305774766901,0.019648384239848,0.00147040156317791,0.042781312918143,0.00719557911918597,9.98791995099275
"2",100,10,0.1,6,10,20.7286292978761,0.469625420309702,0.974552739344996,0.0208208608732431,0.000606694506482142,0.0451768489281716,0.00576070912133338,99.8626956063627
"3",50,10,0.1,6,10,9.78403070431069,0.559964139187603,0.950413430477176,0.0207495495051158,0.00071188968163868,0.0449935404646814,0.00594784285923688,49.9554531698287
"4",10,10,1,6,10,0.531048376608146,0.912543312359985,0.672082281838447,0.0113081425174873,0.000817571241213036,0.0263849626956239,0.00337881706497945,10.014483538471
"5",100,10,1,6,10,9.65307295314206,0.592086777324044,0.953449391416204,0.0122152704063358,0.000278491781251491,0.0282654617665034,0.00229012895585726,99.9039898449712
"6",50,10,1,6,10,4.39086640382458,0.69344611929849,0.911141943599818,0.0121054236444811,0.000339949722323704,0.0280739281832176,0.00241565940171375,50.0359025578718
"7",10,10,10,6,10,0.0278525406888045,0.9937402817361,0.269366547071052,0.00229472265732922,0.000150342050046523,0.00546275687782717,0.000418541187690901,9.9978210798976
"8",100,10,10,6,10,1.1066995738855,0.86639406876525,0.787065735266177,0.002492968765095,2.70121135858004e-05,0.00596023579333182,0.000134375724188431,100.07137321385
"9",50,10,10,6,10,0.411853345827828,0.933765234387007,0.648201768468441,0.00246500892629139,4.30905286848387e-05,0.00589554163564666,0.000171288438136932,50.0405705493
"10",10,100,0.1,6,10,3.9648689975466e-07,0.999999898864515,-1.32553688944223e-10,3.32276660630219e-11,-9.66714146881687e-12,-7.46785237865950e-12,2.66857359894951e-12,10.0061135106976
"11",100,100,0.1,6,10,8.72761755562774e-07,0.999999782874436,4.7683303405479e-09,-1.00977791234498e-10,-2.22595559676095e-12,2.92678954285673e-11,7.36999074801809e-13,100.019883192095
"12",50,100,0.1,6,10,7.62022563962799e-07,0.999999802455694,1.85846236623504e-09,-7.47189179619925e-11,-4.90593178957052e-12,2.25882434760082e-11,1.47512168659651e-12,50.0153678795
"13",10,100,1,6,10,5.25440777541687e-07,0.999999870071282,-5.30452788652309e-10,1.03722645429321e-10,1.48536295042852e-11,-2.99015809014876e-11,-4.17646613229709e-12,9.99979033430004
"14",100,100,1,6,10,6.49246120342411e-06,0.99999829206612,4.28625489943407e-09,-8.87840949915478e-11,8.37388532919832e-12,2.62960198096569e-11,-2.40598030102392e-12,100.069602121007
"15",50,100,1,6,10,2.86744040132283e-06,0.999999280694613,-7.3573239871375e-09,3.01465361327675e-10,1.89575546981581e-11,-8.93954082647704e-11,-5.74369246910902e-12,50.0315510736243
"16",10,100,10,6,10,6.4188559862105e-07,0.999999832105544,-5.2203284655504e-10,9.40970022576424e-11,5.27791780041058e-12,-2.9417703739838e-11,-1.74273518411874e-12,10.0031916054089
"17",100,100,10,6,10,3.20842970672496e-06,0.999999160743031,-7.01784045269903e-09,1.40422898613543e-10,-7.07687524571791e-12,-4.30578241010298e-11,2.06933527088491e-12,100.060752031597
"18",50,100,10,6,10,2.89266225067514e-06,0.999999278437791,-1.56099328541063e-09,6.6378833408439e-11,1.66719765793611e-12,-1.89675789883994e-11,-4.31889097898858e-13,50.0298111020149
