"","x_bar","y_bar","gamma","true_n","true_K","KLD","BC","Fc","derrorAB_dn","derrorBC_dn","derrorAB_dK","derrorBC_dK","emp_x_bar"
"69",50,100,1,3,30,5.8264021200682e-06,0.999998545047253,0.00182115152271356,-2.78341424362474e-05,-2.89537177359013e-07,3.4451966899842e-06,3.46915084886359e-08,50.0245924071
"70",10,100,10,3,30,4.82650409764279e-07,0.999999871925288,6.37666866948163e-05,-4.57880750142434e-06,-3.10383395134668e-07,5.59632551562693e-07,3.80524561672861e-08,10.0027218312992
"71",100,100,10,3,30,4.2294518687306e-06,0.999998927887894,0.000623830385711962,-4.84716348895383e-06,-6.8761495832507e-08,5.96015235732784e-07,8.2364355996182e-09,100.035833323657
"72",50,100,10,3,30,2.73058086471443e-06,0.999999315541495,0.000319129973831865,-4.84467894437252e-06,-5.23013064738812e-08,6.02414722661473e-07,6.77234131949609e-09,50.026028815574
"73",10,50,0.1,3,30,0.000929132334720339,0.999772239046544,0.0594118897267978,-5.87813831577808e-05,-2.24609311335022e-05,0.000418774238790902,1.80098591868196e-05,9.99829354400017
"74",100,50,0.1,3,30,NA,0.984727536513884,0.389935137515055,-5.8092566640273e-05,-2.27431252302592e-05,0.000460489613494205,-6.52757148504897e-06,99.9986900889993
"75",50,50,0.1,3,30,0.0234347527416935,0.99493953193108,0.242434594596544,-5.67808884873886e-05,-2.29552174394122e-05,0.000456530349677861,-3.46694098624919e-06,49.993909297511
"76",10,50,1,3,30,0.000298703410363032,0.999926170857987,0.0331661528356142,-5.12180058792386e-05,-8.40113448869408e-06,0.00023011828255269,1.17144801209736e-05,9.99862351899835
"77",100,50,1,3,30,0.0253156749910539,0.99446291402365,0.254565981060491,-5.70437038669479e-05,-6.23048246072322e-06,0.000249680890405938,-1.28100315639177e-06,99.9621054323811
"78",50,50,1,3,30,0.00698609809675786,0.998360105505757,0.14662978546374,-5.65065552874948e-05,-6.34196030936421e-06,0.000248486079105383,2.23130463011111e-07,50.0467360318496
"79",10,50,10,3,30,6.73332878870763e-06,0.999998319174875,0.00611986908000748,-1.13889215270726e-05,-8.39888055899295e-07,4.16218177789434e-05,2.4647969511816e-06,10.0046256347083
"80",100,50,10,3,30,0.000883787271754348,0.999783764371979,0.058252474752844,-1.26820671984059e-05,-2.658653173954e-07,4.55856889376386e-05,1.91615581116914e-07,99.9881400635451
"81",50,50,10,3,30,0.000225231122945335,0.999944269495155,0.0297933172951167,-1.21419655297605e-05,-3.87742233561658e-07,4.47640535118453e-05,5.04974928267851e-07,50.0103303737897
"82",10,10,0.1,3,50,2.20905635642213,0.79466003933893,0.883361505439939,0.156883785783613,0.0953415963927819,0.000532259867131955,0.000422615082117768,9.98145563992596
"83",100,10,0.1,3,50,NA,0.471312202150148,0.987071503741995,0.164562781138691,0.0964399857326539,0.000557285896517764,0.000433780851616667,100.185986299681
"84",50,10,0.1,3,50,NA,0.556930387658245,0.974506142280259,0.163781833323061,0.0961862269705775,0.000554212465504361,0.000431217447054374,50.0894248142488
"85",10,10,1,3,50,1.05931562125826,0.874192367891155,0.801451083871521,0.0980968090430137,0.0419897708023139,0.00032326086837494,0.000173108501935285,10.0011575766995
"86",100,10,1,3,50,Inf,0.55335116983203,0.975878409732266,0.104867320850402,0.0419785050231459,0.000345006357171983,0.000176842459115301,99.798155515
"87",50,10,1,3,50,Inf,0.648936700094287,0.952851488330126,0.103864019717009,0.0419271227990842,0.000342233253284034,0.00017700483309929,49.9913640776207
"88",10,10,10,3,50,0.0865759459009057,0.982937707308526,0.418248729411096,0.0218118311464478,0.0033268061871698,7.06751794638127e-05,1.23240609056377e-05,9.99994593789996
"89",100,10,10,3,50,2.46442595884057,0.793659270689368,0.878007350872357,0.0236107914130666,0.00244695380111715,7.65249501005161e-05,9.68885538294103e-06,100.182035026727
"90",50,10,10,3,50,1.00650827463619,0.879824095596688,0.782572930329146,0.023433261551476,0.00258838315351022,7.60570526296261e-05,1.0178955922902e-05,50.0671937077672
"91",10,100,0.1,3,50,3.45799294274414e-05,0.999991399809722,0.0115619941435839,-0.000239782648212368,-1.41711653273747e-05,5.43654124502789e-05,2.93745078753778e-06,10.0106983639043
"92",100,100,0.1,3,50,0.00334133018689674,0.999200666566367,0.106170483085375,-0.000264676861024658,-8.25807244587868e-07,6.01491156063581e-05,-1.4773962813867e-07,99.9871325812167
"93",50,100,0.1,3,50,0.00083879371012762,0.999794456709723,0.0555479196444576,-0.000259546766658676,-2.4830257751191e-06,5.89638248921036e-05,2.41232981561898e-07,50.013503193677
"94",10,100,1,3,50,1.10276110405039e-05,0.999997256400021,0.00632720315638603,-0.000133291641058981,-8.02882605889011e-06,2.97169635310369e-05,1.71295219306101e-06,10.0042060522865
"95",100,100,1,3,50,0.000987568639195734,0.999758552896036,0.0601715305250613,-0.000146568788967363,-5.664406675472e-07,3.25500152505666e-05,4.08016745364163e-08,100.084489316024
"96",50,100,1,3,50,0.000290217819013988,0.99992817321282,0.0307904344538731,-0.000143763187272262,-1.54013722544049e-06,3.19690598083109e-05,2.50480123543297e-07,50.0459311024367
"97",10,100,10,3,50,6.26715141002509e-07,0.999999836655304,0.00114256209677147,-2.44513626975323e-05,-1.51066510839783e-06,5.35761627060652e-06,3.26861581940033e-07,10.0042734682073
"98",100,100,10,3,50,3.58515139817543e-05,0.999991066603037,0.0112234819990473,-2.63295646158867e-05,-2.13448670513851e-07,5.78783814435992e-06,4.27720362618331e-08,100.035237431621
"99",50,100,10,3,50,1.23755021080653e-05,0.999996908013925,0.00561284683641987,-2.56108906639924e-05,-3.01391028812119e-07,5.68636588279585e-06,6.52221255945918e-08,50.0322919214774
"100",10,50,0.1,3,50,0.0315970105897913,0.992945429200864,0.282693527362639,0.0106821613497667,0.000549017992228977,0.000934798214996582,6.73900718545537e-05,10.0021529747991
"101",100,50,0.1,3,50,1.23841966417979,0.859846312721773,0.798435358822751,0.0116754411684177,-4.29053502672044e-05,0.00102108569911934,1.86032196866779e-05,99.9110886056489
"102",50,50,0.1,3,50,0.465951858757818,0.928811405502072,0.664062002619708,0.0115464263054796,3.30759111735468e-05,0.00101007453702011,2.49269218391141e-05,49.9467976737574
"103",10,50,1,3,50,0.0104351696789507,0.997557289775849,0.178018218388355,0.00596221435659273,0.000337382811807121,0.00052505980209555,3.5798575084225e-05,10.0078169485898
"104",100,50,1,3,50,0.520230705249596,0.922315392924814,0.684100120889169,0.00648878739735671,7.79801648933853e-06,0.000571508716516279,7.66051582592261e-06,99.9497251431715
"105",50,50,1,3,50,0.180071952817659,0.966614078798683,0.520557843829136,0.00643741994731199,4.64027610946675e-05,0.000566599127471069,1.09886350089854e-05,50.0195577375883
"106",10,50,10,3,50,0.000377327694110487,0.999906993221925,0.0378592662871975,0.00110122489664573,6.75230710238466e-05,9.72838502193681e-05,6.17482732630969e-06,10.0002267031999
"107",100,50,10,3,50,0.0307389361742583,0.993200138677983,0.282941397234831,0.00120256382358565,6.72208179784643e-06,0.00010627475919536,8.37697217541059e-07,100.012462179344
"108",50,50,10,3,50,0.00855778006349498,0.997990802164809,0.164808430029586,0.00119107359742987,1.45489410413689e-05,0.000105133631676918,1.52934403016678e-06,49.9990121370032
"109",10,10,0.1,3,70,NA,0.793094124606085,0.886095636031638,0.155759301264924,0.0977154096755184,0.000148421900540017,0.000123687512815995,9.97717377759772
"110",100,10,0.1,3,70,NA,0.469324904780169,0.987460421589593,0.163464310722734,0.099146907033062,0.000155475292848542,0.00012731265873707,100.37704767808
"111",50,10,0.1,3,70,NA,0.554991936268531,0.975203202419124,0.162746397660719,0.0991673946900925,0.000154836095373699,0.000127530526543746,50.0685523826524
"112",10,10,1,3,70,1.09035883991155,0.872360524812409,0.805721253824496,0.0975581632828718,0.0431069585224398,9.00263044039942e-05,5.04485928806181e-05,10.0144444999682
"113",100,10,1,3,70,NA,0.551298119662045,0.97647512806065,0.104171278406767,0.0432739548749645,9.61361013739915e-05,5.19779816084077e-05,99.9291645497775
"114",50,10,1,3,70,Inf,0.646815231172402,0.953991669458021,0.10338772856852,0.043322603345976,9.55578479982269e-05,5.20400637063398e-05,49.9554439011995
"115",10,10,10,3,70,0.0901880934949619,0.98235256102732,0.42439951691867,0.0217986271076062,0.00340706481259727,1.97667272591467e-05,3.56469834379468e-06,9.99799388109559
"116",100,10,10,3,70,2.52995761740427,0.79129177203239,0.880479373210646,0.0235561359354047,0.0025267233872175,2.13459590361564e-05,2.82166310911185e-06,100.108539343663
"117",50,10,10,3,70,1.03835143382545,0.877561676859474,0.786776910779133,0.0233972209004836,0.00266805840586508,2.12664357043914e-05,2.97755204380942e-06,50.0724316244986
"118",10,100,0.1,3,70,0.000793103319033175,0.999805440723834,0.0539560832426964,0.000474860827080027,1.38696547228906e-05,0.000154232662919882,8.15341479194361e-06,10.0110234429011
"119",100,100,0.1,3,70,0.0631196686342048,0.987106210736014,0.364849781666595,0.000523236016229087,-1.53140582676949e-05,0.000169133385430336,-6.15880843544704e-07,99.9813638411627
"120",50,100,0.1,3,70,0.0178122349049125,0.995966764591039,0.222093948689831,0.000512927421597699,-1.13829083084781e-05,0.000166464095338317,4.81309517532028e-07,50.0311404556311
"121",10,100,1,3,70,0.000235595277889109,0.999941733698367,0.0301989885136094,0.000253629480345136,1.10232870253112e-05,8.48318728508613e-05,4.81691867824439e-06,10.0065441334915
"122",100,100,1,3,70,0.0206970960752682,0.99533833615657,0.238405011249339,0.000276547578704928,-3.68080813833561e-06,9.29046484230436e-05,4.47737495056212e-08,100.081466388507
"123",50,100,1,3,70,0.00571294633347004,0.998641874924463,0.134994111235127,0.000273624077648423,-1.88174872598669e-06,9.16452595973488e-05,6.64673624488273e-07,50.0542379106349
"124",10,100,10,3,70,5.19374848024658e-06,0.999998701804459,0.0055717230471285,4.45884840553256e-05,2.63784178783719e-06,1.53718086541586e-05,9.45431459542868e-07,10.0068843594904
"125",100,100,10,3,70,0.000723387678923115,0.999822698427651,0.05324777143642,4.9120137125773e-05,1.47814774643261e-07,1.67852555958184e-05,9.95771011994975e-08,100.041457369407
"126",50,100,10,3,70,0.000202359914781851,0.999949974017707,0.0273663130379402,4.90879058922188e-05,4.46682326355755e-07,1.65949088710465e-05,1.90113801898551e-07,50.0341005539386
