"","x_bar","y_bar","gamma","true_n","n","error_AB","error_BC"
"147",50,100,0.1,2,0.1,-0.879473296535858,0.0326325939486966
"148",10,100,1,2,0.1,-0.170428402854942,0.0180378060303328
"149",100,100,1,2,0.1,-0.925333571731268,0.0197986376236974
"150",50,100,1,2,0.1,-0.622804644020986,0.0198671755760085
"151",10,100,10,2,0.1,-0.0327542627130683,0.00337946460188199
"152",100,100,10,2,0.1,-0.287478006768584,0.00356946021090349
"153",50,100,10,2,0.1,-0.156468392883282,0.00353917198085971
"154",10,50,0.1,2,0.1,-0.494179660513037,0.0622734311437021
"155",100,50,0.1,2,0.1,-1.43080346731704,0.0652579449496253
"156",50,50,0.1,2,0.1,-1.18160521840801,0.0645859641239398
"157",10,50,1,2,0.1,-0.31046262011085,0.0360335694753223
"158",100,50,1,2,0.1,-1.21958340341231,0.0394865434147584
"159",50,50,1,2,0.1,-0.92296197516741,0.0391065743413105
"160",10,50,10,2,0.1,-0.0650877332073367,0.00674715844286719
"161",100,50,10,2,0.1,-0.492616202496347,0.00799242504171627
"162",50,50,10,2,0.1,-0.286122714597016,0.00717014944870119
"163",10,10,0.1,3,0.1,-1.51189489970111,0.609338301007861
"164",100,10,0.1,3,0.1,-1.83696137785157,0.632950379207018
"165",50,10,0.1,3,0.1,-1.79484863594435,0.631124330701106
"166",10,10,1,3,0.1,-1.28773147723454,0.395361778627316
"167",100,10,1,3,0.1,-1.79274237154826,0.423959809802528
"168",50,10,1,3,0.1,-1.71808473886734,0.421149805255114
"169",10,10,10,3,0.1,-0.523615061780298,0.0835315680671395
"170",100,10,10,3,0.1,-1.48741706599092,0.103794317218065
"171",50,10,10,3,0.1,-1.2370873058337,0.101745875072031
"172",10,100,0.1,3,0.1,-0.554898724295809,0.0771412889104958
"173",100,100,0.1,3,0.1,-1.5128725585535,0.0859160338128633
"174",50,100,0.1,3,0.1,-1.26910077194009,0.0843758250385462
"175",10,100,1,3,0.1,-0.351922795545031,0.0438367697567156
"176",100,100,1,3,0.1,-1.30871212032776,0.0523131071543928
"177",50,100,1,3,0.1,-1.00582621042693,0.0503376894557509
"178",10,100,10,3,0.1,-0.074566390090699,0.0078406558787626
"179",100,100,10,3,0.1,-0.552110016454637,0.00962129188886946
"180",50,100,10,3,0.1,-0.323555217195318,0.00880976522382478
"181",10,50,0.1,3,0.1,-0.854233708567147,0.151695569401342
"182",100,50,0.1,3,0.1,-1.67532473515605,0.166156905675098
"183",50,50,0.1,3,0.1,-1.51274396934876,0.164842044509233
"184",10,50,1,3,0.1,-0.589672028382686,0.0886776412728061
"185",100,50,1,3,0.1,-1.53587853060024,0.100175112950498
"186",50,50,1,3,0.1,-1.30435876395068,0.0994782340453506
"187",10,50,10,3,0.1,-0.143103440688325,0.0157827252887242
"188",100,50,10,3,0.1,-0.848458043839137,0.020814639118594
"189",50,50,10,3,0.1,-0.549006818550922,0.0189893220046452
"190",10,10,0.1,4,0.1,-1.70676013822414,0.999051632174052
"191",100,10,0.1,4,0.1,-1.89688822653857,1.02926042973615
"192",50,10,0.1,4,0.1,-1.87613083866626,1.0303954970179
"193",10,10,1,4,0.1,-1.53584584823648,0.69595347165261
"194",100,10,1,4,0.1,-1.86893733419906,0.729261965418292
"195",50,10,1,4,0.1,-1.82520881429831,0.728776652520861
"196",10,10,10,4,0.1,-0.789961649104103,0.169239856531566
"197",100,10,10,4,0.1,-1.67252747268764,0.204395142176552
"198",50,10,10,4,0.1,-1.48743272854658,0.19952007239625
"199",10,100,0.1,4,0.1,-0.819108482800053,0.146103100056776
"200",100,100,0.1,4,0.1,-1.6813495697241,0.163105443217059
"201",50,100,0.1,4,0.1,-1.5051910589997,0.161088407064497
"202",10,100,1,4,0.1,-0.554292884977706,0.0835106287582999
"203",100,100,1,4,0.1,-1.53214628089333,0.0989333753987179
"204",50,100,1,4,0.1,-1.28198452965241,0.0959409424535893
"205",10,100,10,4,0.1,-0.131434817970559,0.0147169348571102
"206",100,100,10,4,0.1,-0.8091371602464,0.0192849475629781
"207",50,100,10,4,0.1,-0.51524947434312,0.0173940135656664
"208",10,50,0.1,4,0.1,-1.14936292506534,0.283643682437249
"209",100,50,0.1,4,0.1,-1.79045711965682,0.309269347848713
"210",50,50,0.1,4,0.1,-1.68494931893513,0.306459030468909
"211",10,50,1,4,0.1,-0.858721914456198,0.168782863361873
"212",100,50,1,4,0.1,-1.69729223483181,0.187374248563876
"213",50,50,1,4,0.1,-1.53133484302982,0.18710154828637
"214",10,50,10,4,0.1,-0.244152183409206,0.0302337536849724
"215",100,50,10,4,0.1,-1.13455358219558,0.040998044094899
"216",50,50,10,4,0.1,-0.808550836718957,0.037967639057343
"217",10,10,0.1,1,0.2,-0.459288233416142,0.049992409713054
"218",100,10,0.1,1,0.2,-1.10574250692074,0.0396177981672632
"219",50,10,0.1,1,0.2,-0.958564830867241,0.0416244407323421
"220",10,10,1,1,0.2,-0.304818294634569,0.0318402267880544
"221",100,10,1,1,0.2,-0.982385605146626,0.0268132593325654
"222",50,10,1,1,0.2,-0.786398624878823,0.0278348107192754
"223",10,10,10,1,0.2,-0.0670851787472399,0.00660703224194345
"224",100,10,10,1,0.2,-0.467726567904456,0.00651967812734636
"225",50,10,10,1,0.2,-0.282620342753471,0.00688578833300756
"226",10,100,0.1,1,0.2,-0.068903966134643,0.00663135616418582
"227",100,100,0.1,1,0.2,-0.470261570580364,0.00540662213874869
"228",50,100,0.1,1,0.2,-0.285164585686426,0.00581571768055345
"229",10,100,1,1,0.2,-0.0383596244915376,0.00391683428806288
"230",100,100,1,1,0.2,-0.306747371640649,0.00338665192730084
"231",50,100,1,1,0.2,-0.175187347486045,0.0037145226629494
"232",10,100,10,1,0.2,-0.00683045079340364,0.000770301232704858
"233",100,100,10,1,0.2,-0.0674277087588356,0.00066016561920044
"234",50,100,10,1,0.2,-0.0361304632239059,0.00060137112575533
"235",10,50,0.1,1,0.2,-0.129012905703533,0.0124766633108536
"236",100,50,0.1,1,0.2,-0.695183616994987,0.00956347325988902
"237",50,50,0.1,1,0.2,-0.46978720024296,0.0107636451012595
"238",10,50,1,1,0.2,-0.0755756148126284,0.0075093351858968
"239",100,50,1,1,0.2,-0.498938201375697,0.00634002112177015
"240",50,50,1,1,0.2,-0.307788941229489,0.00675775949500339
"241",10,50,10,1,0.2,-0.0143248816562476,0.00154712627654159
"242",100,50,10,1,0.2,-0.129500775340038,0.001586266563261
"243",50,50,10,1,0.2,-0.0681085452791468,0.00135559455184951
"244",10,10,0.1,2,0.2,-1.06674168907675,0.251150659866526
"245",100,10,0.1,2,0.2,-1.54974385114466,0.257922786646129
"246",50,10,0.1,2,0.2,-1.47694715073394,0.258669525201792
"247",10,10,1,2,0.2,-0.830097599086181,0.156721114888228
"248",100,10,1,2,0.2,-1.4820870199566,0.166307340538349
"249",50,10,1,2,0.2,-1.3634605148006,0.165352789317695
"250",10,10,10,2,0.2,-0.256289010277528,0.031108823341003
"251",100,10,10,2,0.2,-1.05878480989761,0.0375891256097002
"252",50,10,10,2,0.2,-0.78652954016276,0.0363253826498957
"253",10,100,0.1,2,0.2,-0.272055594587461,0.0301837019543644
"254",100,100,0.1,2,0.2,-1.08835178263296,0.0310812007311584
"255",50,100,0.1,2,0.2,-0.814247543958191,0.0304604829671506
"256",10,100,1,2,0.2,-0.160680371624669,0.0170140605181162
"257",100,100,1,2,0.2,-0.855476953583211,0.0184380804622337
"258",50,100,1,2,0.2,-0.580483351322027,0.0185907786866938
"259",10,100,10,2,0.2,-0.030946310848351,0.00320219793538686
"260",100,100,10,2,0.2,-0.270174906246436,0.00334576170942351
"261",50,100,10,2,0.2,-0.14758310062045,0.00333897149424526
"262",10,50,0.1,2,0.2,-0.462016924410723,0.0584116226809466
"263",100,50,0.1,2,0.2,-1.30615662290739,0.0606247491388279
"264",50,50,0.1,2,0.2,-1.08547319365817,0.0601183594963457
"265",10,50,1,2,0.2,-0.291637234883943,0.0338867566975035
"266",100,50,1,2,0.2,-1.11888511178837,0.0366619561222299
"267",50,50,1,2,0.2,-0.853257056925444,0.0364313278677829
"268",10,50,10,2,0.2,-0.0615040203294888,0.00638496425028237
"269",100,50,10,2,0.2,-0.46023786753965,0.00748670488766965
"270",50,50,10,2,0.2,-0.268848590460808,0.00672867910594949
"271",10,10,0.1,3,0.2,-1.43037921054849,0.584473152489607
"272",100,10,0.1,3,0.2,-1.72862461686768,0.606386108111126
"273",50,10,0.1,3,0.2,-1.69032111443155,0.6047451090023
"274",10,10,1,3,0.2,-1.2188955476515,0.377799476268765
"275",100,10,1,3,0.2,-1.6827751174327,0.404038681644733
"276",50,10,1,3,0.2,-1.61485168530053,0.401546745102107
"277",10,10,10,3,0.2,-0.501083699414591,0.0800494983075472
"278",100,10,10,3,0.2,-1.40038809661344,0.0985118840926065
"279",50,10,10,3,0.2,-1.16981850336027,0.0967833733343379
"280",10,100,0.1,3,0.2,-0.530920107132499,0.0739566353105864
"281",100,100,0.1,3,0.2,-1.42452468306453,0.0817515525007836
"282",50,100,0.1,3,0.2,-1.19985773941576,0.0804126622231767
"283",10,100,1,3,0.2,-0.337812517731099,0.0421079187356997
"284",100,100,1,3,0.2,-1.23608159994983,0.0497671814630245
"285",50,100,1,3,0.2,-0.95487474988775,0.0480127424648999
"286",10,100,10,3,0.2,-0.0718767752038519,0.0075630586895782
"287",100,100,10,3,0.2,-0.528018949234157,0.00920622744015782
"288",50,100,10,3,0.2,-0.310638046418028,0.00846023761472638
"289",10,50,0.1,3,0.2,-0.813589999829024,0.145132276128249
"290",100,50,0.1,3,0.2,-1.57429769192395,0.158140926223565
"291",50,50,0.1,3,0.2,-1.4253565465701,0.157032252808987
"292",10,50,1,3,0.2,-0.563858301617304,0.0849649720532993
"293",100,50,1,3,0.2,-1.44533546555843,0.0951988709385254
"294",50,50,1,3,0.2,-1.23230314210233,0.0946970523750865
"295",10,50,10,3,0.2,-0.13782065223023,0.0152045671739843
"296",100,50,10,3,0.2,-0.807365145234745,0.0198612335575881
"297",50,50,10,3,0.2,-0.525089096467653,0.0181756958421599
"298",10,10,0.1,4,0.2,-1.64436997082058,0.974690491867145
"299",100,10,0.1,4,0.2,-1.82376774601164,1.00391910324538
"300",50,10,0.1,4,0.2,-1.80433988075205,1.00521584455451
"301",10,10,1,4,0.2,-1.47653677416365,0.675626835737339
"302",100,10,1,4,0.2,-1.79001303736739,0.707285068552563
"303",50,10,1,4,0.2,-1.74916833340575,0.707012970235921
"304",10,10,10,4,0.2,-0.764158004679224,0.164087049300092
"305",100,10,10,4,0.2,-1.60124944077972,0.197109749362923
"306",50,10,10,4,0.2,-1.42724712993051,0.192611579176846
"307",10,100,0.1,4,0.2,-0.790669420111763,0.141429464232847
"308",100,100,0.1,4,0.2,-1.60605245895691,0.157177539834556
"309",50,100,0.1,4,0.2,-1.44089679960994,0.155353218276965
"310",10,100,1,4,0.2,-0.53661521098325,0.0809422114867042
"311",100,100,1,4,0.2,-1.46532155150783,0.0952533655447291
"312",50,100,1,4,0.2,-1.22988149413756,0.0924967632575008
"313",10,100,10,4,0.2,-0.127887320205573,0.0143261586185117
"314",100,100,10,4,0.2,-0.780514652333053,0.0186267887081678
"315",50,100,10,4,0.2,-0.498907683313384,0.0168499054629825
"316",10,50,0.1,4,0.2,-1.10621552301251,0.274469390875566
"317",100,50,0.1,4,0.2,-1.71039280927837,0.298503226122633
"318",50,50,0.1,4,0.2,-1.6115941107931,0.295910693261511
"319",10,50,1,4,0.2,-0.828673193554385,0.16333298148941
"320",100,50,1,4,0.2,-1.62100526779013,0.180467375509856
"321",50,50,1,4,0.2,-1.46566024388229,0.180348636386157
"322",10,50,10,4,0.2,-0.23728577107988,0.0293919258148009
"323",100,50,10,4,0.2,-1.090454030062,0.0395238958756932
"324",50,50,10,4,0.2,-0.780302359574804,0.0366928441631228
"325",10,10,0.1,1,0.3,-0.387546257955544,0.0429679730216365
